sample_id,prototype_pH,stabilization_time_s,reference_pH,label
1,4.909,63,4.8,ACIDIC
2,4.898,146,4.73,ACIDIC
3,4.928,82,4.92,ACIDIC
4,4.94,71,4.93,ACIDIC
5,4.936,99,4.93,ACIDIC
6,4.986,79,4.96,ACIDIC
7,4.951,110,4.97,ACIDIC
8,4.986,82,5.01,NON_ACIDIC
9,4.981,92,4.96,ACIDIC
10,4.938,142,4.91,ACIDIC
11,5.296,73,5.27,NON_ACIDIC
12,5.255,86,5.26,NON_ACIDIC
13,5.279,119,5.23,NON_ACIDIC
14,5.322,77,5.27,NON_ACIDIC
15,5.278,164,5.24,NON_ACIDIC
16,5.222,124,5.25,NON_ACIDIC
17,5.301,80,5.27,NON_ACIDIC
18,5.258,122,5.22,NON_ACIDIC
19,5.304,125,5.22,NON_ACIDIC
20,5.287,166,5.25,NON_ACIDIC
21,4.979,124,4.97,ACIDIC
22,4.91,149,4.96,ACIDIC
23,4.945,59,4.95,ACIDIC
24,4.947,102,4.98,ACIDIC
25,4.987,150,4.96,ACIDIC
26,4.986,79,4.96,ACIDIC
27,4.974,76,4.97,ACIDIC
28,5.021,172,4.98,ACIDIC
29,5.002,160,4.96,ACIDIC
30,4.952,120,4.94,ACIDIC
31,4.888,111,4.85,ACIDIC
32,4.834,147,4.82,ACIDIC
33,4.826,172,4.79,ACIDIC
34,4.886,125,4.82,ACIDIC
35,4.911,180,4.83,ACIDIC
36,4.865,229,4.83,ACIDIC
37,4.877,117,4.84,ACIDIC
38,4.884,137,4.83,ACIDIC
39,4.867,190,4.85,ACIDIC
40,4.858,154,4.83,ACIDIC
41,5.073,151,5.08,NON_ACIDIC
42,5.06,96,5.06,NON_ACIDIC
43,5.061,140,5.01,NON_ACIDIC
44,5.082,138,5.03,NON_ACIDIC
45,5.049,185,5,NON_ACIDIC
46,5.118,139,5.06,NON_ACIDIC
47,5.115,125,5.04,NON_ACIDIC
48,5.076,147,5.04,NON_ACIDIC
49,5.094,114,5.01,NON_ACIDIC
50,5.063,111,5.01,NON_ACIDIC
